<<<<<<< HEAD
crsCode77492,deptId91205,crsName55891,descr67132,
crsCode70076,deptId88621,crsName95135,descr22524,
crsCode97448,deptId42424,crsName26863,descr43720,
crsCode27628,deptId48705,crsName84946,descr32901,
crsCode85265,deptId33840,crsName64148,descr35816,
crsCode25830,deptId59907,crsName96902,descr90828,
crsCode40069,deptId90901,crsName22297,descr39780,
crsCode28292,deptId50555,crsName76120,descr4041,
crsCode42938,deptId67147,crsName31042,descr88145,
crsCode61611,deptId74168,crsName643,descr5857,
crsCode25170,deptId17208,crsName80815,descr4377,
crsCode25483,deptId82214,crsName67866,descr44429,
crsCode42202,deptId48323,crsName36215,descr97813,
crsCode91227,deptId13240,crsName66186,descr45338,
crsCode28359,deptId51446,crsName89964,descr78256,
crsCode20543,deptId55231,crsName62747,descr73187,
crsCode87256,deptId26557,crsName89467,descr14218,
crsCode53572,deptId30447,crsName82157,descr56153,
crsCode66969,deptId25349,crsName58571,descr73586,
crsCode97216,deptId27489,crsName4189,descr23515,
crsCode59740,deptId53597,crsName26299,descr20170,
crsCode62836,deptId619,crsName63103,descr27645,
crsCode83871,deptId52407,crsName94949,descr52583,
crsCode86475,deptId46217,crsName8867,descr84229,
crsCode88170,deptId21639,crsName85439,descr78382,
crsCode90746,deptId15351,crsName77842,descr90440,
crsCode31184,deptId92802,crsName7031,descr99992,
crsCode58880,deptId74645,crsName3119,descr84753,
crsCode73611,deptId56704,crsName97748,descr16878,
crsCode11397,deptId18049,crsName61208,descr28666,
crsCode6113,deptId56571,crsName52633,descr64236,
crsCode99452,deptId77567,crsName3523,descr31825,
crsCode28099,deptId45709,crsName3299,descr84962,
crsCode10146,deptId83796,crsName46724,descr18484,
crsCode30602,deptId90133,crsName74855,descr17998,
crsCode2334,deptId91878,crsName76579,descr77716,
crsCode98587,deptId2962,crsName19607,descr67842,
crsCode10721,deptId76637,crsName67016,descr6293,
crsCode65058,deptId57798,crsName47356,descr61764,
crsCode21669,deptId31845,crsName97809,descr77612,
crsCode40151,deptId34483,crsName46682,descr61064,
crsCode47472,deptId98441,crsName81207,descr83231,
crsCode6013,deptId90721,crsName73617,descr70488,
crsCode90479,deptId29721,crsName48687,descr95496,
crsCode34816,deptId60278,crsName66775,descr74284,
crsCode27805,deptId87396,crsName32388,descr9266,
crsCode18068,deptId3932,crsName53952,descr28594,
crsCode62555,deptId56126,crsName33663,descr65562,
crsCode83578,deptId11134,crsName89593,descr62086,
crsCode37207,deptId73083,crsName11073,descr70863,
crsCode26365,deptId95722,crsName8070,descr46234,
crsCode85031,deptId58833,crsName62917,descr61265,
crsCode6030,deptId40272,crsName82921,descr96975,
crsCode73709,deptId16922,crsName60129,descr96277,
crsCode23405,deptId59264,crsName88636,descr74682,
crsCode56978,deptId6223,crsName57635,descr96959,
crsCode45921,deptId51632,crsName12082,descr63679,
crsCode24268,deptId92429,crsName75381,descr23461,
crsCode78428,deptId36788,crsName37500,descr43001,
crsCode68794,deptId86931,crsName32571,descr30899,
crsCode68314,deptId79779,crsName17152,descr57520,
crsCode6084,deptId88482,crsName15697,descr55649,
crsCode12256,deptId64728,crsName56193,descr39232,
crsCode56029,deptId20827,crsName52623,descr12478,
crsCode13662,deptId34222,crsName47900,descr36728,
crsCode67395,deptId64548,crsName80199,descr3048,
crsCode14831,deptId60003,crsName71590,descr30872,
crsCode475,deptId94787,crsName94595,descr71729,
crsCode54518,deptId93749,crsName90736,descr4241,
crsCode25175,deptId37632,crsName79305,descr22139,
crsCode77473,deptId68455,crsName90053,descr97257,
crsCode23153,deptId52935,crsName54584,descr19420,
crsCode391,deptId47548,crsName65800,descr43380,
crsCode74223,deptId15107,crsName26122,descr27419,
crsCode42539,deptId73114,crsName97369,descr86555,
crsCode27519,deptId96644,crsName51986,descr91952,
crsCode30744,deptId88521,crsName21230,descr41112,
crsCode74297,deptId31482,crsName38717,descr94311,
crsCode18948,deptId54065,crsName8796,descr62743,
crsCode8258,deptId14838,crsName67090,descr91453,
crsCode79951,deptId62783,crsName28237,descr48791,
crsCode40677,deptId14287,crsName88916,descr39105,
crsCode36995,deptId57631,crsName77160,descr66278,
crsCode33369,deptId7131,crsName3196,descr76980,
crsCode63315,deptId11907,crsName93006,descr39528,
crsCode15552,deptId89649,crsName89729,descr63497,
crsCode54749,deptId57562,crsName30936,descr61073,
crsCode12707,deptId47693,crsName15569,descr97157,
crsCode26154,deptId46169,crsName18300,descr2981,
crsCode42168,deptId31020,crsName53591,descr46143,
crsCode27531,deptId58677,crsName88295,descr31422,
crsCode44638,deptId79755,crsName12949,descr63872,
crsCode44987,deptId98247,crsName1538,descr27590,
crsCode42717,deptId54411,crsName40873,descr45220,
crsCode25377,deptId98310,crsName22511,descr79800,
crsCode44873,deptId37360,crsName77385,descr17431,
crsCode55596,deptId4751,crsName94987,descr89347,
crsCode61822,deptId1661,crsName67016,descr14201,
crsCode93975,deptId41600,crsName6795,descr76262,
crsCode1634,deptId86489,crsName33585,descr69882,
crsCode62468,deptId33912,crsName44096,descr82357,
crsCode3975,deptId11596,crsName64168,descr73149,
crsCode76355,deptId64025,crsName19285,descr74226,
crsCode21288,deptId3874,crsName39022,descr24409,
crsCode78922,deptId39814,crsName47533,descr94228,
crsCode17672,deptId24102,crsName43963,descr44978,
crsCode18171,deptId59044,crsName12680,descr63171,
crsCode57976,deptId38120,crsName36995,descr59076,
crsCode10595,deptId32252,crsName18780,descr12185,
crsCode94512,deptId77015,crsName79028,descr42680,
crsCode3126,deptId77143,crsName16349,descr67682,
crsCode72819,deptId90023,crsName80052,descr18413,
crsCode38838,deptId98912,crsName47255,descr90300,
crsCode30669,deptId2796,crsName9924,descr56912,
crsCode12107,deptId68422,crsName71952,descr39799,
crsCode45461,deptId72732,crsName46145,descr14019,
crsCode78634,deptId81814,crsName51721,descr92982,
crsCode42605,deptId35537,crsName84095,descr2585,
crsCode59824,deptId66148,crsName30459,descr22956,
crsCode27263,deptId3428,crsName94894,descr57239,
crsCode38342,deptId1027,crsName12924,descr93855,
crsCode57055,deptId35571,crsName79127,descr3093,
crsCode50012,deptId74312,crsName43993,descr16552,
crsCode64237,deptId6971,crsName58942,descr61883,
crsCode83247,deptId85770,crsName16283,descr14673,
crsCode98290,deptId76509,crsName89535,descr45348,
crsCode73733,deptId83684,crsName15300,descr41141,
crsCode53567,deptId94205,crsName63378,descr59837,
crsCode72044,deptId45841,crsName24593,descr17666,
crsCode59667,deptId65822,crsName3912,descr56902,
crsCode80833,deptId8687,crsName43607,descr40506,
crsCode40116,deptId71783,crsName57229,descr23855,
crsCode8165,deptId40028,crsName47719,descr45101,
crsCode99154,deptId16416,crsName28070,descr29212,
crsCode63879,deptId29628,crsName49484,descr47967,
crsCode91273,deptId84245,crsName75442,descr55138,
crsCode67838,deptId45200,crsName20137,descr65032,
crsCode12797,deptId62033,crsName6475,descr51207,
crsCode89966,deptId34175,crsName50493,descr95023,
crsCode58141,deptId90820,crsName8132,descr47909,
crsCode23232,deptId89968,crsName66176,descr20494,
crsCode73314,deptId34237,crsName2953,descr66214,
crsCode77899,deptId22830,crsName73701,descr60401,
crsCode30894,deptId81136,crsName19108,descr52457,
crsCode11536,deptId55042,crsName1880,descr19414,
crsCode11376,deptId93489,crsName20340,descr38107,
crsCode77847,deptId48668,crsName69599,descr34189,
crsCode61404,deptId79799,crsName15925,descr19583,
crsCode93812,deptId38442,crsName95163,descr53368,
crsCode50325,deptId61337,crsName12796,descr72742,
crsCode326,deptId8639,crsName88037,descr20588,
crsCode26693,deptId63827,crsName22586,descr42583,
crsCode49140,deptId31405,crsName95123,descr40654,
crsCode97377,deptId86146,crsName43126,descr47527,
crsCode4144,deptId34986,crsName73490,descr39159,
crsCode26119,deptId21219,crsName31669,descr54242,
crsCode18613,deptId16047,crsName4715,descr70768,
crsCode27520,deptId84056,crsName96979,descr89856,
crsCode31979,deptId98739,crsName31136,descr79254,
crsCode27680,deptId49154,crsName61545,descr51247,
crsCode23039,deptId83124,crsName85933,descr9622,
crsCode90531,deptId58343,crsName66343,descr86480,
crsCode30573,deptId59054,crsName62889,descr74737,
crsCode71120,deptId9101,crsName68088,descr49105,
crsCode41528,deptId6433,crsName33668,descr15225,
crsCode95223,deptId33533,crsName90626,descr80599,
crsCode18766,deptId99598,crsName33992,descr77266,
crsCode91956,deptId66592,crsName69573,descr8823,
crsCode51238,deptId68730,crsName7067,descr10257,
crsCode52619,deptId81957,crsName52953,descr88119,
crsCode31203,deptId78538,crsName58297,descr4352,
crsCode74443,deptId3672,crsName1138,descr20530,
crsCode59184,deptId46469,crsName20283,descr10647,
crsCode31854,deptId53644,crsName85693,descr46129,
crsCode73603,deptId36757,crsName8436,descr29476,
crsCode82805,deptId61042,crsName64738,descr72401,
crsCode93340,deptId6405,crsName86800,descr60036,
crsCode7021,deptId61759,crsName4545,descr14051,
crsCode99492,deptId20131,crsName60725,descr21607,
crsCode7982,deptId70537,crsName93175,descr31879,
crsCode86160,deptId32383,crsName28323,descr43759,
crsCode41560,deptId9002,crsName16088,descr69776,
crsCode27614,deptId35018,crsName8341,descr88496,
crsCode2838,deptId56667,crsName42868,descr78562,
crsCode88500,deptId58936,crsName82368,descr28785,
crsCode89948,deptId71034,crsName78164,descr59255,
crsCode24710,deptId98110,crsName8913,descr38346,
crsCode64747,deptId49924,crsName8475,descr4757,
crsCode32270,deptId86291,crsName30545,descr39396,
crsCode47274,deptId20123,crsName48903,descr16408,
crsCode92691,deptId45426,crsName25537,descr59803,
crsCode38827,deptId95936,crsName23407,descr66766,
crsCode32965,deptId17270,crsName56192,descr24158,
crsCode93422,deptId39993,crsName10980,descr93910,
crsCode97788,deptId17885,crsName5666,descr40237,
crsCode16790,deptId57580,crsName26450,descr91904,
crsCode68318,deptId92230,crsName40472,descr87834,
crsCode58999,deptId36770,crsName1565,descr37711,
crsCode36983,deptId11794,crsName9388,descr33256,
crsCode48362,deptId57956,crsName12934,descr51673,
crsCode47808,deptId59077,crsName54947,descr61679,
crsCode68852,deptId67745,crsName90854,descr73253,
crsCode35610,deptId6373,crsName93499,descr66165,
crsCode69509,deptId83046,crsName50991,descr31563,
crsCode7698,deptId78106,crsName30508,descr15029,
crsCode10100,deptId91299,crsName79568,descr67351,
crsCode35261,deptId98476,crsName21065,descr78524,
crsCode37061,deptId2956,crsName82895,descr29606,
crsCode47898,deptId38600,crsName98717,descr70630,
crsCode42501,deptId48693,crsName87566,descr84327,
crsCode18388,deptId92763,crsName28336,descr20549,
crsCode95658,deptId86869,crsName68456,descr27035,
crsCode58239,deptId16212,crsName18466,descr21242,
crsCode74485,deptId20995,crsName42002,descr60438,
crsCode37880,deptId59590,crsName9612,descr60697,
crsCode79505,deptId10524,crsName19708,descr17595,
crsCode39432,deptId84227,crsName87459,descr84521,
crsCode26131,deptId46394,crsName97232,descr44418,
crsCode12767,deptId97857,crsName6294,descr60417,
crsCode47513,deptId27901,crsName83535,descr80661,
crsCode73530,deptId36953,crsName7725,descr97164,
crsCode66253,deptId88646,crsName53080,descr66253,
crsCode92606,deptId36770,crsName26474,descr50629,
crsCode98017,deptId78583,crsName5443,descr13978,
crsCode82204,deptId61946,crsName3081,descr91,
crsCode50226,deptId94420,crsName94559,descr54616,
crsCode26253,deptId10301,crsName86625,descr99054,
crsCode66984,deptId40484,crsName69178,descr14619,
crsCode39894,deptId93835,crsName75682,descr39247,
crsCode2001,deptId55759,crsName45111,descr14467,
crsCode70563,deptId61894,crsName74390,descr90052,
crsCode99626,deptId48833,crsName50742,descr85927,
crsCode98700,deptId11921,crsName12482,descr20897,
crsCode14424,deptId77381,crsName16529,descr84942,
crsCode76308,deptId53137,crsName452,descr33455,
crsCode73864,deptId90763,crsName28987,descr13457,
crsCode30151,deptId90735,crsName1364,descr60776,
crsCode31125,deptId35779,crsName51105,descr36507,
crsCode79641,deptId75764,crsName96644,descr16824,
crsCode23712,deptId94815,crsName11146,descr65960,
crsCode47915,deptId36492,crsName78786,descr85789,
crsCode60503,deptId75444,crsName37561,descr67432,
crsCode10887,deptId86307,crsName24851,descr88360,
crsCode17456,deptId15608,crsName26503,descr6269,
crsCode94913,deptId64202,crsName74039,descr87674,
crsCode77836,deptId67237,crsName48843,descr14872,
crsCode45557,deptId15282,crsName35273,descr63207,
crsCode27703,deptId67252,crsName22963,descr40767,
crsCode11405,deptId8463,crsName62846,descr16565,
crsCode7876,deptId85219,crsName43402,descr37130,
crsCode27290,deptId34070,crsName6242,descr84093,
crsCode24562,deptId58895,crsName55890,descr1409,
crsCode67832,deptId56958,crsName59232,descr46281,
crsCode83883,deptId50554,crsName39977,descr34911,
crsCode16844,deptId67523,crsName25849,descr30612,
crsCode87234,deptId69317,crsName86053,descr14450,
crsCode95015,deptId65406,crsName61865,descr15917,
crsCode33650,deptId40630,crsName76377,descr30103,
crsCode22337,deptId64717,crsName52902,descr22867,
crsCode59907,deptId74036,crsName63152,descr77218,
crsCode42976,deptId81041,crsName92898,descr35865,
crsCode48518,deptId72069,crsName58831,descr46292,
crsCode35601,deptId75946,crsName15942,descr2787,
crsCode81525,deptId40118,crsName2644,descr49602,
crsCode91883,deptId58845,crsName21943,descr51847,
crsCode46006,deptId42867,crsName50427,descr29365,
crsCode28273,deptId29806,crsName89363,descr13357,
crsCode48343,deptId38345,crsName28885,descr27172,
crsCode750,deptId57669,crsName85842,descr47823,
crsCode83632,deptId57131,crsName67184,descr47067,
crsCode83128,deptId13517,crsName67334,descr86425,
crsCode76870,deptId51754,crsName12116,descr13622,
crsCode13967,deptId87568,crsName58813,descr25097,
crsCode83908,deptId21115,crsName35618,descr51462,
crsCode61756,deptId51900,crsName49116,descr30095,
crsCode47841,deptId84597,crsName83317,descr77386,
crsCode69460,deptId77568,crsName38051,descr47598,
crsCode82494,deptId10415,crsName91330,descr59191,
crsCode40373,deptId42543,crsName14605,descr6553,
crsCode64519,deptId61766,crsName63577,descr6641,
crsCode48357,deptId53115,crsName44942,descr24918,
crsCode32143,deptId22516,crsName94211,descr15567,
crsCode73048,deptId42906,crsName61909,descr96670,
crsCode93078,deptId95354,crsName13699,descr73018,
crsCode71912,deptId5317,crsName28681,descr56122,
crsCode56484,deptId87190,crsName16183,descr6509,
crsCode23260,deptId54003,crsName9358,descr14887,
crsCode92908,deptId50221,crsName2647,descr7254,
crsCode14819,deptId48450,crsName28735,descr80435,
crsCode38796,deptId47362,crsName55378,descr34995,
crsCode28408,deptId52686,crsName62995,descr85501,
crsCode46409,deptId14492,crsName40469,descr6198,
crsCode73053,deptId87799,crsName52441,descr10328,
crsCode48949,deptId15332,crsName36133,descr40801,
crsCode18370,deptId30079,crsName4477,descr14600,
crsCode74411,deptId8420,crsName30625,descr34474,
crsCode2844,deptId5289,crsName83619,descr38722,
crsCode70063,deptId80808,crsName90531,descr40280,
crsCode58096,deptId11771,crsName96969,descr25072,
crsCode84847,deptId68672,crsName34813,descr45571,
crsCode61703,deptId41276,crsName97030,descr88587,
crsCode86246,deptId1116,crsName95646,descr15575,
crsCode7961,deptId88054,crsName87535,descr69118,
crsCode17238,deptId95886,crsName57741,descr96657,
crsCode38853,deptId5428,crsName20046,descr69289,
crsCode83851,deptId88075,crsName10954,descr77504,
crsCode35700,deptId60965,crsName8971,descr7387,
crsCode39708,deptId60713,crsName21361,descr56420,
crsCode35227,deptId22423,crsName16037,descr17111,
crsCode4011,deptId34818,crsName23096,descr56978,
crsCode60759,deptId59996,crsName90711,descr10991,
crsCode82817,deptId69104,crsName30669,descr52878,
crsCode208,deptId16136,crsName65749,descr93387,
crsCode20597,deptId35086,crsName64154,descr36304,
crsCode59544,deptId53040,crsName16014,descr51939,
crsCode96164,deptId69149,crsName38627,descr6047,
crsCode16395,deptId98123,crsName91945,descr39392,
crsCode10615,deptId12795,crsName66917,descr4472,
crsCode83151,deptId21109,crsName49866,descr80063,
crsCode19266,deptId42061,crsName88726,descr46823,
crsCode77619,deptId42375,crsName90668,descr43501,
crsCode82048,deptId27318,crsName38057,descr20427,
crsCode47185,deptId57664,crsName80133,descr88139,
crsCode86973,deptId51880,crsName61622,descr58733,
crsCode80990,deptId82023,crsName35787,descr78687,
crsCode10315,deptId61466,crsName77547,descr32373,
crsCode90341,deptId87291,crsName32784,descr34795,
crsCode83946,deptId59740,crsName36766,descr704,
crsCode1206,deptId63653,crsName13074,descr10914,
crsCode23142,deptId47562,crsName97015,descr64689,
crsCode76792,deptId12613,crsName59671,descr68755,
crsCode1167,deptId25653,crsName20462,descr98516,
crsCode63635,deptId17842,crsName2363,descr86391,
crsCode19925,deptId93323,crsName63152,descr90109,
crsCode77776,deptId12798,crsName80840,descr32752,
crsCode3370,deptId33651,crsName79832,descr61005,
crsCode82201,deptId39382,crsName50878,descr25773,
crsCode28899,deptId10704,crsName6678,descr52654,
crsCode41278,deptId30977,crsName63660,descr25154,
crsCode44119,deptId59356,crsName67371,descr13492,
crsCode18670,deptId69438,crsName16372,descr39602,
crsCode75165,deptId48236,crsName61866,descr18203,
crsCode35097,deptId97544,crsName48074,descr35655,
crsCode49618,deptId43087,crsName79641,descr14509,
crsCode9909,deptId46227,crsName14805,descr85781,
crsCode21296,deptId39888,crsName1357,descr56187,
crsCode54421,deptId12461,crsName97293,descr38076,
crsCode53112,deptId22802,crsName48049,descr42721,
crsCode32051,deptId17824,crsName44634,descr76549,
crsCode37929,deptId42160,crsName23967,descr71012,
crsCode56614,deptId780,crsName40379,descr70850,
crsCode49477,deptId7204,crsName71876,descr67156,
crsCode43276,deptId559,crsName3004,descr81711,
crsCode2482,deptId8255,crsName24736,descr96908,
crsCode49441,deptId67550,crsName19134,descr277,
crsCode16183,deptId1994,crsName69571,descr33263,
crsCode262,deptId55659,crsName2066,descr86051,
crsCode89402,deptId14701,crsName42353,descr8107,
crsCode16059,deptId83807,crsName37662,descr94229,
crsCode64872,deptId62374,crsName40542,descr70679,
crsCode13604,deptId56606,crsName60790,descr40431,
crsCode13261,deptId47471,crsName91507,descr69045,
crsCode92006,deptId24456,crsName5315,descr46977,
crsCode27927,deptId91994,crsName33286,descr62450,
crsCode11787,deptId96275,crsName5951,descr91874,
crsCode19255,deptId24886,crsName84421,descr30915,
crsCode52058,deptId60500,crsName78647,descr77461,
crsCode33247,deptId7081,crsName21196,descr3304,
crsCode44735,deptId82741,crsName48551,descr51945,
crsCode95332,deptId35125,crsName5417,descr61195,
crsCode16808,deptId4733,crsName289,descr28819,
crsCode82621,deptId22069,crsName60190,descr52415,
crsCode59718,deptId78157,crsName78470,descr34323,
crsCode30977,deptId92990,crsName17279,descr85122,
crsCode23976,deptId55167,crsName16810,descr33270,
crsCode96045,deptId70144,crsName83919,descr58909,
crsCode31907,deptId40615,crsName67187,descr46352,
crsCode64507,deptId66373,crsName8871,descr16640,
crsCode89068,deptId40659,crsName13403,descr81215,
crsCode91756,deptId7790,crsName68847,descr96681,
crsCode69467,deptId45069,crsName46857,descr68909,
crsCode81951,deptId75515,crsName17186,descr87004,
crsCode73,deptId42261,crsName56571,descr67756,
crsCode9942,deptId22081,crsName21518,descr6569,
crsCode68242,deptId39785,crsName31967,descr75129,
crsCode65655,deptId13299,crsName91441,descr19338,
crsCode36564,deptId81854,crsName28277,descr24347,
crsCode38889,deptId35419,crsName74717,descr77124,
crsCode45038,deptId3397,crsName91822,descr74818,
crsCode72370,deptId71743,crsName10708,descr33763,
crsCode81441,deptId62601,crsName91439,descr90890,
crsCode46175,deptId95326,crsName84747,descr56672,
crsCode29906,deptId29773,crsName32846,descr60567,
crsCode2140,deptId17586,crsName95339,descr54940,
crsCode53765,deptId12849,crsName88819,descr90361,
crsCode11735,deptId75118,crsName45803,descr60292,
crsCode26627,deptId73387,crsName6168,descr86119,
crsCode36193,deptId98047,crsName98199,descr3212,
crsCode9204,deptId21456,crsName53225,descr70405,
crsCode90860,deptId80301,crsName20876,descr15670,
crsCode41605,deptId33034,crsName26853,descr47648,
crsCode16173,deptId41976,crsName26968,descr77354,
crsCode27427,deptId10848,crsName34522,descr83117,
crsCode67803,deptId8220,crsName45118,descr82205,
crsCode68670,deptId33939,crsName90988,descr79952,
crsCode62702,deptId55407,crsName56176,descr53804,
crsCode42086,deptId95837,crsName19822,descr91025,
crsCode29632,deptId48576,crsName42931,descr29151,
crsCode18993,deptId64402,crsName71654,descr91365,
crsCode45551,deptId83960,crsName20158,descr84936,
crsCode87122,deptId28896,crsName92269,descr30541,
crsCode13752,deptId66970,crsName92986,descr65347,
crsCode29219,deptId26704,crsName58284,descr1904,
crsCode20093,deptId86691,crsName76738,descr64950,
crsCode97116,deptId23652,crsName44736,descr77217,
crsCode37056,deptId66348,crsName53220,descr64496,
crsCode7768,deptId11577,crsName52823,descr48381,
crsCode60229,deptId82853,crsName1695,descr53163,
crsCode87927,deptId996,crsName35664,descr20459,
crsCode67347,deptId39258,crsName72771,descr73195,
crsCode12470,deptId55638,crsName71167,descr3099,
crsCode46163,deptId8911,crsName82099,descr77694,
crsCode97176,deptId85722,crsName79781,descr84810,
crsCode83055,deptId18661,crsName97541,descr49147,
crsCode46848,deptId16563,crsName68635,descr51290,
crsCode11764,deptId56405,crsName59488,descr91397,
crsCode56404,deptId78305,crsName35464,descr78108,
crsCode96656,deptId33009,crsName50780,descr78695,
crsCode71675,deptId9370,crsName43302,descr10695,
crsCode69939,deptId49703,crsName28997,descr57432,
crsCode47103,deptId69650,crsName39649,descr59903,
crsCode56690,deptId93119,crsName22712,descr79286,
crsCode15660,deptId99893,crsName97879,descr87217,
crsCode11647,deptId96186,crsName31268,descr92620,
crsCode52398,deptId65258,crsName75640,descr94419,
crsCode47506,deptId43923,crsName74186,descr23117,
crsCode1686,deptId17391,crsName55814,descr11974,
crsCode53250,deptId77023,crsName69981,descr58872,
crsCode83926,deptId26561,crsName53974,descr46517,
crsCode63564,deptId70574,crsName48450,descr4244,
crsCode70911,deptId38643,crsName52237,descr62805,
crsCode38859,deptId29001,crsName94033,descr3475,
crsCode72106,deptId72307,crsName11492,descr63269,
crsCode79005,deptId28148,crsName68657,descr36016,
crsCode22700,deptId8938,crsName18980,descr55501,
crsCode95940,deptId18603,crsName2687,descr45746,
crsCode53759,deptId42394,crsName34250,descr61536,
crsCode36802,deptId11782,crsName26215,descr12137,
crsCode52639,deptId13571,crsName86107,descr10907,
crsCode82358,deptId59561,crsName40110,descr5322,
crsCode52241,deptId58801,crsName67621,descr50838,
crsCode29255,deptId61173,crsName96516,descr2687,
crsCode71102,deptId16771,crsName13039,descr77372,
crsCode70846,deptId14351,crsName96411,descr48383,
crsCode53009,deptId55264,crsName89460,descr3415,
crsCode49146,deptId79691,crsName42185,descr24783,
crsCode28112,deptId57661,crsName53111,descr31252,
crsCode68789,deptId99601,crsName40689,descr66675,
crsCode51223,deptId10561,crsName76521,descr89697,
crsCode79330,deptId71738,crsName73950,descr7508,
crsCode46111,deptId14440,crsName95009,descr61583,
crsCode15726,deptId94192,crsName13253,descr35771,
crsCode57499,deptId6109,crsName38788,descr84368,
crsCode58080,deptId14001,crsName98248,descr7379,
crsCode49527,deptId77309,crsName85757,descr38585,
crsCode92474,deptId99149,crsName96400,descr62794,
crsCode96249,deptId33818,crsName56387,descr56545,
crsCode68823,deptId44739,crsName7920,descr87823,
crsCode93250,deptId30710,crsName75767,descr73312,
crsCode94413,deptId73735,crsName50694,descr30165,
crsCode38828,deptId37475,crsName38340,descr15440,
crsCode18987,deptId22911,crsName70811,descr51759,
crsCode50634,deptId10153,crsName19872,descr59535,
crsCode70937,deptId86560,crsName895,descr66161,
crsCode28140,deptId59488,crsName60455,descr7482,
